ROW\COL,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AV,AW,AX,AY,AZ,BA,BB,BC,BD,BE,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BQ
33,1190033202,"=VLOOKUP(A33,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A33,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A33,'Aji Plus'!$A$2:$D$58,4,0)",149.86824219878378,188.37479900016004,176.44318985043785,110.27699365652369,199.40249836581248,216.93834817676787,166.3194002688553,209.34550599058096,150.22980611241172,238.9937469080725,217.84225796083769,117.14670801545459,,"=VLOOKUP(A33,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A33,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A33,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A33,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A33,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A33,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R33/E33,=S33/F33,=T33/G33,=U33/H33,=V33/I33,=W33/J33,=X33/K33,=Y33/L33,=Z33/M33,=AA33/N33,=AB33/O33,=AC33/P33,,"=ROUND(AE33,4)","=ROUND(AF33,4)","=ROUND(AG33,4)","=ROUND(AH33,4)","=ROUND(AI33,4)","=ROUND(AJ33,4)","=ROUND(AK33,4)","=ROUND(AL33,4)","=ROUND(AM33,4)","=ROUND(AN33,4)","=ROUND(AO33,4)","=ROUND(AP33,4)",,"=IFERROR(VLOOKUP(AR33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB33,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC33,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE33:BP33)
34,1190033301,"=VLOOKUP(A34,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A34,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A34,'Aji Plus'!$A$2:$D$58,4,0)",96.09505661087076,81.53519954861761,248.16467481662576,106.12518036486739,91.8888756817754,322.2581696445362,95.12439947338721,229.7221892044385,91.241770923453,144.95146586420904,111.62557081060744,101.5954470566108,,"=VLOOKUP(A34,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A34,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A34,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A34,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A34,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A34,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R34/E34,=S34/F34,=T34/G34,=U34/H34,=V34/I34,=W34/J34,=X34/K34,=Y34/L34,=Z34/M34,=AA34/N34,=AB34/O34,=AC34/P34,,"=ROUND(AE34,4)","=ROUND(AF34,4)","=ROUND(AG34,4)","=ROUND(AH34,4)","=ROUND(AI34,4)","=ROUND(AJ34,4)","=ROUND(AK34,4)","=ROUND(AL34,4)","=ROUND(AM34,4)","=ROUND(AN34,4)","=ROUND(AO34,4)","=ROUND(AP34,4)",,"=IFERROR(VLOOKUP(AR34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB34,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC34,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE34:BP34)
35,1190033302,"=VLOOKUP(A35,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A35,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A35,'Aji Plus'!$A$2:$D$58,4,0)",104.43719842016172,88.61338047771297,269.70818581907076,115.33805078051532,99.86587323678764,350.2338371261988,103.38227722399847,249.66468309196907,99.16259243934543,157.53489862704524,121.3159375587737,110.41508519842007,,"=VLOOKUP(A35,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A35,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A35,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A35,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A35,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A35,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R35/E35,=S35/F35,=T35/G35,=U35/H35,=V35/I35,=W35/J35,=X35/K35,=Y35/L35,=Z35/M35,=AA35/N35,=AB35/O35,=AC35/P35,,"=ROUND(AE35,4)","=ROUND(AF35,4)","=ROUND(AG35,4)","=ROUND(AH35,4)","=ROUND(AI35,4)","=ROUND(AJ35,4)","=ROUND(AK35,4)","=ROUND(AL35,4)","=ROUND(AM35,4)","=ROUND(AN35,4)","=ROUND(AO35,4)","=ROUND(AP35,4)",,"=IFERROR(VLOOKUP(AR35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB35,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC35,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE35:BP35)
36,1190037301,"=VLOOKUP(A36,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A36,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A36,'Aji Plus'!$A$2:$D$58,4,0)",109,51,208,128,95,111,138,116,148,106,112,97,,"=VLOOKUP(A36,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A36,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A36,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A36,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A36,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A36,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R36/E36,=S36/F36,=T36/G36,=U36/H36,=V36/I36,=W36/J36,=X36/K36,=Y36/L36,=Z36/M36,=AA36/N36,=AB36/O36,=AC36/P36,,"=ROUND(AE36,4)","=ROUND(AF36,4)","=ROUND(AG36,4)","=ROUND(AH36,4)","=ROUND(AI36,4)","=ROUND(AJ36,4)","=ROUND(AK36,4)","=ROUND(AL36,4)","=ROUND(AM36,4)","=ROUND(AN36,4)","=ROUND(AO36,4)","=ROUND(AP36,4)",,"=IFERROR(VLOOKUP(AR36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB36,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC36,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE36:BP36)
37,1190037401,"=VLOOKUP(A37,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A37,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A37,'Aji Plus'!$A$2:$D$58,4,0)",15.417142289939946,27.995434016576503,17.786490644697007,19.46250434264728,10.443694476152663,11.901335053848825,23.223981339024267,18.28874882128145,21.498833689016823,18.05945704501464,21.891905305474218,14.030472976326369,,"=VLOOKUP(A37,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A37,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A37,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A37,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A37,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A37,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R37/E37,=S37/F37,=T37/G37,=U37/H37,=V37/I37,=W37/J37,=X37/K37,=Y37/L37,=Z37/M37,=AA37/N37,=AB37/O37,=AC37/P37,,"=ROUND(AE37,4)","=ROUND(AF37,4)","=ROUND(AG37,4)","=ROUND(AH37,4)","=ROUND(AI37,4)","=ROUND(AJ37,4)","=ROUND(AK37,4)","=ROUND(AL37,4)","=ROUND(AM37,4)","=ROUND(AN37,4)","=ROUND(AO37,4)","=ROUND(AP37,4)",,"=IFERROR(VLOOKUP(AR37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB37,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC37,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE37:BP37)
38,1190043401,"=VLOOKUP(A38,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A38,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A38,'Aji Plus'!$A$2:$D$58,4,0)",139.42484581817126,150.60095578340187,131.92422049156636,149.626222186488,164.78783959189437,137.138493185489,143.13385219417415,141.78256902134947,119.35180997718588,192.74101150555583,134.61300285290656,141.12581947016014,,"=VLOOKUP(A38,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A38,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A38,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A38,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A38,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A38,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R38/E38,=S38/F38,=T38/G38,=U38/H38,=V38/I38,=W38/J38,=X38/K38,=Y38/L38,=Z38/M38,=AA38/N38,=AB38/O38,=AC38/P38,,"=ROUND(AE38,4)","=ROUND(AF38,4)","=ROUND(AG38,4)","=ROUND(AH38,4)","=ROUND(AI38,4)","=ROUND(AJ38,4)","=ROUND(AK38,4)","=ROUND(AL38,4)","=ROUND(AM38,4)","=ROUND(AN38,4)","=ROUND(AO38,4)","=ROUND(AP38,4)",,"=IFERROR(VLOOKUP(AR38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB38,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC38,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE38:BP38)
39,1190043402,"=VLOOKUP(A39,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A39,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A39,'Aji Plus'!$A$2:$D$58,4,0)",104.62318242537268,113.00963739928201,98.99477891346805,112.27820585042413,123.65535067967663,102.90752344670109,107.406388305331,106.39239725467462,89.56055224422636,144.6311659106636,101.01241763375386,105.89957814701378,,"=VLOOKUP(A39,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A39,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A39,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A39,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A39,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A39,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R39/E39,=S39/F39,=T39/G39,=U39/H39,=V39/I39,=W39/J39,=X39/K39,=Y39/L39,=Z39/M39,=AA39/N39,=AB39/O39,=AC39/P39,,"=ROUND(AE39,4)","=ROUND(AF39,4)","=ROUND(AG39,4)","=ROUND(AH39,4)","=ROUND(AI39,4)","=ROUND(AJ39,4)","=ROUND(AK39,4)","=ROUND(AL39,4)","=ROUND(AM39,4)","=ROUND(AN39,4)","=ROUND(AO39,4)","=ROUND(AP39,4)",,"=IFERROR(VLOOKUP(AR39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB39,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC39,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE39:BP39)
40,1190043501,"=VLOOKUP(A40,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A40,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A40,'Aji Plus'!$A$2:$D$58,4,0)",284.27509539578386,307.062208466456,268.9819748064352,305.074811710719,335.98802670467484,279.6134218687299,291.83743577474934,289.0822872887871,243.34792674737204,392.98210524024677,274.4641674370464,287.7432322572401,,"=VLOOKUP(A40,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A40,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A40,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A40,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A40,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A40,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R40/E40,=S40/F40,=T40/G40,=U40/H40,=V40/I40,=W40/J40,=X40/K40,=Y40/L40,=Z40/M40,=AA40/N40,=AB40/O40,=AC40/P40,,"=ROUND(AE40,4)","=ROUND(AF40,4)","=ROUND(AG40,4)","=ROUND(AH40,4)","=ROUND(AI40,4)","=ROUND(AJ40,4)","=ROUND(AK40,4)","=ROUND(AL40,4)","=ROUND(AM40,4)","=ROUND(AN40,4)","=ROUND(AO40,4)","=ROUND(AP40,4)",,"=IFERROR(VLOOKUP(AR40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB40,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC40,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE40:BP40)
41,1190043502,"=VLOOKUP(A41,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A41,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A41,'Aji Plus'!$A$2:$D$58,4,0)",188.3080544642446,203.402577335553,178.17766375640616,202.08609614327568,222.56346988100012,185.22009253354912,193.31746129243243,191.49240992650348,161.19728877376983,260.31719582759985,181.80914975426094,190.60539994252966,,"=VLOOKUP(A41,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A41,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A41,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A41,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A41,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A41,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R41/E41,=S41/F41,=T41/G41,=U41/H41,=V41/I41,=W41/J41,=X41/K41,=Y41/L41,=Z41/M41,=AA41/N41,=AB41/O41,=AC41/P41,,"=ROUND(AE41,4)","=ROUND(AF41,4)","=ROUND(AG41,4)","=ROUND(AH41,4)","=ROUND(AI41,4)","=ROUND(AJ41,4)","=ROUND(AK41,4)","=ROUND(AL41,4)","=ROUND(AM41,4)","=ROUND(AN41,4)","=ROUND(AO41,4)","=ROUND(AP41,4)",,"=IFERROR(VLOOKUP(AR41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB41,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC41,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE41:BP41)
42,1190043601,"=VLOOKUP(A42,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A42,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A42,'Aji Plus'!$A$2:$D$58,4,0)",120.36939521320687,130.01804563456363,113.89389417186645,129.17653067454333,142.26598188988004,118.39552260804011,123.57148485298043,122.40488404148081,103.03977817046356,166.3987422870209,116.21519569309271,121.83789366168654,,"=VLOOKUP(A42,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A42,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A42,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A42,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A42,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A42,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R42/E42,=S42/F42,=T42/G42,=U42/H42,=V42/I42,=W42/J42,=X42/K42,=Y42/L42,=Z42/M42,=AA42/N42,=AB42/O42,=AC42/P42,,"=ROUND(AE42,4)","=ROUND(AF42,4)","=ROUND(AG42,4)","=ROUND(AH42,4)","=ROUND(AI42,4)","=ROUND(AJ42,4)","=ROUND(AK42,4)","=ROUND(AL42,4)","=ROUND(AM42,4)","=ROUND(AN42,4)","=ROUND(AO42,4)","=ROUND(AP42,4)",,"=IFERROR(VLOOKUP(AR42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB42,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC42,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE42:BP42)
43,1190043602,"=VLOOKUP(A43,'Aji Plus'!$A$2:$D$58,2,0)","=VLOOKUP(A43,'Aji Plus'!$A$2:$D$58,3,0)","=VLOOKUP(A43,'Aji Plus'!$A$2:$D$58,4,0)",173.4506442744875,187.35421693096967,164.1195362662504,186.14160543845858,205.00332475239364,170.60632097722822,178.06481143931885,176.38375570245702,148.4789042755466,239.77830082992276,167.4644998568614,175.56673035728056,,"=VLOOKUP(A43,Actual_RDQ!$A$2:$H$62,3,0)","=VLOOKUP(A43,Actual_RDQ!$A$2:$H$62,4,0)","=VLOOKUP(A43,Actual_RDQ!$A$2:$H$62,5,0)","=VLOOKUP(A43,Actual_RDQ!$A$2:$H$62,6,0)","=VLOOKUP(A43,Actual_RDQ!$A$2:$H$62,7,0)","=VLOOKUP(A43,Actual_RDQ!$A$2:$H$62,8,0)",,,,,,,,=R43/E43,=S43/F43,=T43/G43,=U43/H43,=V43/I43,=W43/J43,=X43/K43,=Y43/L43,=Z43/M43,=AA43/N43,=AB43/O43,=AC43/P43,,"=ROUND(AE43,4)","=ROUND(AF43,4)","=ROUND(AG43,4)","=ROUND(AH43,4)","=ROUND(AI43,4)","=ROUND(AJ43,4)","=ROUND(AK43,4)","=ROUND(AL43,4)","=ROUND(AM43,4)","=ROUND(AN43,4)","=ROUND(AO43,4)","=ROUND(AP43,4)",,"=IFERROR(VLOOKUP(AR43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AS43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AT43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AU43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AV43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AW43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AX43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AY43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(AZ43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BA43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BB43,'Top WS'!$A$19:$C$28,3),0)","=IFERROR(VLOOKUP(BC43,'Top WS'!$A$19:$C$28,3),0)",=SUM(BE43:BP43)
