Cell,Formula
I14,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J14,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A14,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K14,=
L14,=Period!$A$2
M14,=Period!$B$2
P14,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B14,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L14,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B14,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L14,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q14,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B14),"""")"
R14,"=IF(F14=""Section Manager"",IF(Q14>0,Q14*T_SectAbove!$B$4,0),0)"
S14,"=IF(F14=""Section Manager"",VLOOKUP(A14,ASTBase!F:S,13,FALSE),"""")"
T14,=
U14,"=IF(F14=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A14)*VLOOKUP('1) For HR'!F14,T_SectAbove!A:B,2,FALSE),""""),0)"
V14,"=IF(F14=""Department Manager"",VLOOKUP(A14,ASTBase!F:S,14,FALSE),"""")"
W14,=
X14,"=IF(F14=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A14)*VLOOKUP('1) For HR'!F14,T_SectAbove!A:B,2,FALSE),""""),0)"
B15,"=IF(IF(VLOOKUP(A15,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A15,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A15,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A15,ASTBase!F:P,11,FALSE)))"
C15,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D15,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E15,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F15,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H15,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I15,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J15,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A15,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K15,=
L15,=Period!$A$2
M15,=Period!$B$2
P15,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B15,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L15,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B15,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L15,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q15,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B15),"""")"
R15,"=IF(F15=""Section Manager"",IF(Q15>0,Q15*T_SectAbove!$B$4,0),0)"
S15,"=IF(F15=""Section Manager"",VLOOKUP(A15,ASTBase!F:S,13,FALSE),"""")"
T15,=
U15,"=IF(F15=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A15)*VLOOKUP('1) For HR'!F15,T_SectAbove!A:B,2,FALSE),""""),0)"
V15,"=IF(F15=""Department Manager"",VLOOKUP(A15,ASTBase!F:S,14,FALSE),"""")"
W15,=
X15,"=IF(F15=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A15)*VLOOKUP('1) For HR'!F15,T_SectAbove!A:B,2,FALSE),""""),0)"
B16,"=IF(IF(VLOOKUP(A16,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A16,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A16,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A16,ASTBase!F:P,11,FALSE)))"
C16,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D16,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E16,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F16,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H16,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I16,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J16,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A16,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K16,=
L16,=Period!$A$2
M16,=Period!$B$2
P16,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B16,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L16,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B16,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L16,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q16,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B16),"""")"
R16,"=IF(F16=""Section Manager"",IF(Q16>0,Q16*T_SectAbove!$B$4,0),0)"
S16,"=IF(F16=""Section Manager"",VLOOKUP(A16,ASTBase!F:S,13,FALSE),"""")"
T16,=
U16,"=IF(F16=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A16)*VLOOKUP('1) For HR'!F16,T_SectAbove!A:B,2,FALSE),""""),0)"
V16,"=IF(F16=""Department Manager"",VLOOKUP(A16,ASTBase!F:S,14,FALSE),"""")"
W16,=
X16,"=IF(F16=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A16)*VLOOKUP('1) For HR'!F16,T_SectAbove!A:B,2,FALSE),""""),0)"
B17,"=IF(IF(VLOOKUP(A17,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A17,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A17,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A17,ASTBase!F:P,11,FALSE)))"
C17,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D17,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E17,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F17,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H17,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I17,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J17,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A17,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K17,=
L17,=Period!$A$2
M17,=Period!$B$2
P17,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B17,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L17,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B17,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L17,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q17,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B17),"""")"
R17,"=IF(F17=""Section Manager"",IF(Q17>0,Q17*T_SectAbove!$B$4,0),0)"
S17,"=IF(F17=""Section Manager"",VLOOKUP(A17,ASTBase!F:S,13,FALSE),"""")"
T17,=
U17,"=IF(F17=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A17)*VLOOKUP('1) For HR'!F17,T_SectAbove!A:B,2,FALSE),""""),0)"
V17,"=IF(F17=""Department Manager"",VLOOKUP(A17,ASTBase!F:S,14,FALSE),"""")"
W17,=
X17,"=IF(F17=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A17)*VLOOKUP('1) For HR'!F17,T_SectAbove!A:B,2,FALSE),""""),0)"
B18,"=IF(IF(VLOOKUP(A18,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A18,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A18,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A18,ASTBase!F:P,11,FALSE)))"
C18,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D18,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E18,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F18,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H18,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I18,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J18,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A18,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K18,=
L18,=Period!$A$2
M18,=Period!$B$2
P18,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B18,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L18,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B18,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L18,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q18,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B18),"""")"
R18,"=IF(F18=""Section Manager"",IF(Q18>0,Q18*T_SectAbove!$B$4,0),0)"
S18,"=IF(F18=""Section Manager"",VLOOKUP(A18,ASTBase!F:S,13,FALSE),"""")"
T18,=
U18,"=IF(F18=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A18)*VLOOKUP('1) For HR'!F18,T_SectAbove!A:B,2,FALSE),""""),0)"
V18,"=IF(F18=""Department Manager"",VLOOKUP(A18,ASTBase!F:S,14,FALSE),"""")"
W18,=
X18,"=IF(F18=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A18)*VLOOKUP('1) For HR'!F18,T_SectAbove!A:B,2,FALSE),""""),0)"
B19,"=IF(IF(VLOOKUP(A19,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A19,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A19,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A19,ASTBase!F:P,11,FALSE)))"
C19,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D19,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E19,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F19,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H19,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I19,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J19,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A19,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K19,=
L19,=Period!$A$2
M19,=Period!$B$2
P19,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B19,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L19,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B19,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L19,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q19,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B19),"""")"
R19,"=IF(F19=""Section Manager"",IF(Q19>0,Q19*T_SectAbove!$B$4,0),0)"
S19,"=IF(F19=""Section Manager"",VLOOKUP(A19,ASTBase!F:S,13,FALSE),"""")"
T19,=
U19,"=IF(F19=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A19)*VLOOKUP('1) For HR'!F19,T_SectAbove!A:B,2,FALSE),""""),0)"
V19,"=IF(F19=""Department Manager"",VLOOKUP(A19,ASTBase!F:S,14,FALSE),"""")"
W19,=
X19,"=IF(F19=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A19)*VLOOKUP('1) For HR'!F19,T_SectAbove!A:B,2,FALSE),""""),0)"
B20,"=IF(IF(VLOOKUP(A20,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A20,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A20,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A20,ASTBase!F:P,11,FALSE)))"
C20,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!C$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
D20,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!D$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
E20,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!E$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
F20,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!F$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
H20,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!H$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
I20,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!I$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
J20,"=IF(IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),"""")="""","""",IFERROR(_xlfn.IFNA(VLOOKUP($A20,'HR Rep'!$A:$X,MATCH('1) For HR'!J$1,'HR Rep'!$A$1:$X$1,0),0),""""),""""))"
K20,=
L20,=Period!$A$2
M20,=Period!$B$2
P20,"=IF(SUMIF('3)Target & Cal'!$A$3:$A$308,B20,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L20,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0)))>0,SUMIF('3)Target & Cal'!$A$3:$A$308,B20,INDEX('3)Target & Cal'!$AZ$3:$BK$308,0,MATCH(MID(L20,1,3)&""_I"",'3)Target & Cal'!$AZ$3:$BK$3,0))),0)"
Q20,"=IFERROR(AVERAGEIFS('3)Target & Cal'!BN:BN,'3)Target & Cal'!BM:BM,B20),"""")"
R20,"=IF(F20=""Section Manager"",IF(Q20>0,Q20*T_SectAbove!$B$4,0),0)"
S20,"=IF(F20=""Section Manager"",VLOOKUP(A20,ASTBase!F:S,13,FALSE),"""")"
T20,=
U20,"=IF(F20=""Department Manager"",IFERROR(AVERAGEIFS(Q:Q,S:S,A20)*VLOOKUP('1) For HR'!F20,T_SectAbove!A:B,2,FALSE),""""),0)"
V20,"=IF(F20=""Department Manager"",VLOOKUP(A20,ASTBase!F:S,14,FALSE),"""")"
W20,=
X20,"=IF(F20=""Division Manager"",IFERROR(AVERAGEIFS(T:T,V:V,A20)*VLOOKUP('1) For HR'!F20,T_SectAbove!A:B,2,FALSE),""""),0)"
B21,"=IF(IF(VLOOKUP(A21,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A21,ASTBase!F:P,11,FALSE))=0,"""",IF(VLOOKUP(A21,ASTBase!F:P,11,FALSE)="""","""",VLOOKUP(A21,ASTBase!F:P,11,FALSE)))"
